ID|Victim|Domain|Date|Country|Title|Summary|URL
11|Eneo|eneo.cm|2024-01-29|CMR|Cameroun: L'opérateur majeur d'électricité visé par une cyberattaque - KOACI|L'opérateur principal du secteur de l'électricité au Cameroun, Eneo, a été victime d'une cyberattaque qui a fortement perturbé son système informatique depuis le 29 janvier 2024. En réponse, l'entreprise a désactivé certaines applications pour sécuriser le système et travaille sur la résolution du problème, demandant aux clients de réessayer leurs transactions en cas de lenteurs ou d'indisponibilités. Les clients ont rencontré des difficultés pour recharger leurs compteurs prépayés via les plateformes mobiles money Mtn et Orange, mais Eneo a signalé uniquement des perturbations de son réseau informatique.|https://www.koaci.com/article/2024/02/02/cameroun/societe/cameroun-loperateur-majeur-delectricite-vise-par-une-cyberattaque_175554.html
12|EPS Salud Total|saludtotal.com.co|2024-01-29|COL|"Ataque cibernético a la EPS Salud Total afecta a 4,6 millones de afiliados, SuperSalud interviene | Red+ Noticias Colombia"|La EPS Salud Total en Colombie a été victime d'une cyberattaque qui a affecté sa plateforme technologique et ses 4,6 millions d'adhérents. La Superintendencia Nacional de Salud (SuperSalud) intervient en vérifiant le plan de contingence et de continuité mis en place par la EPS pour faire face à l'attaque et maintenir le service. SuperSalud a également demandé à la EPS de tenir informés ses affiliés des événements et des mesures prises pour résoudre les problèmes découlant de l'attaque.|https://redmas.com.co/colombia/Ataque-cibernetico-a-EPS-Salud-Total-afecta-a-46-millones-de-afiliados-SuperSalud-interviene-20240129-0064.html
13|Cliniques de district de Moyenne-Franconie|bezirkskliniken-mfr.de|2024-01-28|DEU|"Hackerangriff auf Bezirkskliniken Mittelfranken | BR24"|Les systèmes informatiques des cliniques de district de Moyenne-Franconie ont été ciblés par une cyberattaque, entraînant le chiffrement de données, y compris des documents personnels et internes à l'entreprise. En réponse, tous les systèmes ont été déconnectés pour des raisons de sécurité et les autorités, y compris la police, le parquet et les ministères compétents, ont été informés. Malgré ces perturbations, la prise en charge des patients reste assurée, bien que la communication soit actuellement limitée principalement aux appels téléphoniques.|https://www.br.de/nachrichten/bayern/hackerangriff-auf-bezirkskliniken-mittelfranken,U2jU9a2
14|Volkshochschule (Vhs) Vaterstetten|vhs-vaterstetten.de|2024-01-28|DEU|„In Teilen arbeitsunfähig“: Cyberangriff auf die Vhs Vaterstetten|La Volkshochschule (Vhs) de Vaterstetten en Allemagne a été victime d'une cyberattaque qui a affecté presque toute sa structure serveur, la rendant partiellement inopérante. Les responsables ont pris des mesures de sécurité informatique avec l'aide d'experts externes et ont signalé l'incident aux autorités compétentes, y compris le bureau de protection des données de Bavière et la police. Bien que la Vhs fonctionne en mode d'urgence, elle reste accessible par téléphone, en personne et son site web est opérationnel pour les inscriptions en ligne, tandis que les cours actuels se poursuivent.|https://www.merkur.de/lokales/ebersberg/vaterstetten-ort29638/cyberangriff-auf-die-vhs-vaterstetten-helmut-ertel-polizei-sicherungsmassnahmen-92804982.html
15|Freehold Township School District|freeholdtwp.k12.nj.us|2024-01-28|USA|Freehold Schools Shuttered by Cyberattack - Lakewood News Network|Le district scolaire de Freehold Township a annoncé la fermeture de toutes ses écoles et bureaux le lundi suite à une cyberattaque, selon NJ12. La direction a informé les familles et le personnel qu'ils rencontraient des problèmes techniques à cause de cet incident de cybersécurité. Les responsables collaborent avec des experts en informatique externes pour résoudre le problème, mais les détails de l'attaque et les systèmes affectés n'ont pas été divulgués.|https://lnnnews.com/freehold-schools-shuttered-by-cyberattack/
16|Azienda sanitaria locale (Asp) Basilicata|aspbasilicata.it|2024-01-28|ITA|"Sanità Basilicata, ""attacco hacker"" al sistema informatico regionale - Basilicata24"|Le système informatique de la santé régionale de Basilicate en Italie a subi une cyberattaque le 28 janvier, entraînant des perturbations. L'ASP (Azienda sanitaria locale) a informé les autorités compétentes et mis en place une unité de crise pour gérer la situation. Des difficultés dans les services de santé pourraient persister le 29 janvier, et des excuses ont été présentées aux usagers par le Directeur Général de l'ASP Basilicata, Antonello Maraldo, tout en assurant que des efforts sont en cours pour résoudre le problème.|https://www.basilicata24.it/2024/01/sanita-basilicata-attacco-hacker-al-sistema-informatico-regionale-133958/
17|Instituto Nacional do Câncer (INCA)|inca.gov.br|2024-01-27|BRA|"INCA é alvo de ataque cibernético | Notícias | Baguete"|L'Institut National du Cancer (INCA) au Brésil a subi une cyberattaque qui a perturbé le service de radiologie et la prise de rendez-vous depuis le samedi 27. L'institut a activé son programme de sécurité interne et interrompu ses services technologiques pour protéger les données et éviter des dommages supplémentaires. Les consultations programmées se poursuivent avec des enregistrements manuels, mais la prise de nouveaux rendez-vous est suspendue.|https://www.baguete.com.br/noticias/01/02/2024/inca-e-alvo-de-ataque-cibernetico
18|Fulton County, Georgia|fultoncountyga.gov|2024-01-27|USA|Cyberattack Hits Georgia County Where Trump Is Charged - Bloomberg|Une cyberattaque a perturbé les systèmes judiciaires du comté de Fulton en Géorgie, où l'ancien président Donald Trump est impliqué dans une affaire pénale liée à des allégations d'ingérence dans les résultats des élections de 2020. Les systèmes affectés par l'attaque incluent les tribunaux, les impôts, les armes à feu et les licences de mariage. Les responsables, dont Robb Pitts, président du conseil des commissaires du comté, travaillent à rétablir les opérations normales.|https://www.bloomberg.com/news/articles/2024-01-29/cyberattack-hits-georgia-county-where-trump-is-charged
19|Santa Cruz do Sul|santacruz.rs.gov.br|2024-01-25|BRA|Prefeitura de Santa Cruz é alvo de ataque cibernético|La mairie de Santa Cruz do Sul a été victime d'une cyberattaque qui a affecté son réseau informatique, entraînant l'interruption des services de téléphonie et d'internet dans plusieurs de ses départements. En conséquence, le site web de la mairie est hors ligne et les inscriptions pour le processus de sélection de la Secrétairerie de l'Éducation ont été prolongées. Aucune fuite de données n'a été signalée et la mairie a pris des mesures pour rétablir les services le plus rapidement possible.|https://www.gaz.com.br/prefeitura-de-santa-cruz-e-alvo-de-ataque-cibernetico/
20|Group Health Cooperative of South Central Wisconsin|ghcscw.com|2024-01-25|USA|GHC reports possible cyber attack affecting services|"Group Health Cooperative of South Central Wisconsin a alerté ses membres d'un ""événement potentiel de cybersécurité"", qui a contraint l'assureur santé à fermer certains de ses services en ligne et informatiques. Bien que l'événement ait été rapidement identifié, GHC a sécurisé tous ses systèmes informatiques avec accès à Internet par précaution, affectant certains systèmes et services pendant l'enquête, y compris le système téléphonique et l'accès des patients aux dossiers médicaux en ligne via MyChart."|https://madison.com/news/local/crime-courts/ghc-cyber-health-insurance/article_a1996bf4-bbe5-11ee-ae99-9789feb1137c.html
21|Linn County Sheriff’s Office|linncounty.org|2024-01-24|USA|Cyberattack reported on Linn County Sheriff's Office|La semaine dernière, le bureau du shérif du comté de Linn a été la cible d'une cyberattaque, mais aucune violation de données n'a été signalée et aucun message de rançon n'a été reçu. Le shérif Michelle Duncan a indiqué que l'attaque a été rapidement isolée et que des mesures de sécurité renforcées ont été mises en place, bien que peu de détails n'aient été divulgués. En réponse, la ville d'Albany a pris des précautions supplémentaires, notamment en coupant les communications avec les serveurs du bureau du shérif, ce qui a eu un impact significatif sur les services d'incendie et de police d'Albany.|https://democratherald.com/news/local/crime-courts/cyberattack-reported-linn-county-sheriffs-office/article_45553a26-bf05-11ee-9724-2b00527599bf.html
22|Global Affairs Canada (GAC)|international.gc.ca|2024-01-24|CAN|"Global Affairs Canada systems compromised in data breach - National | Globalnews.ca"|"Les systèmes de Global Affairs Canada ont été compromis lors d'une violation de données, avec des indications préliminaires d'un ""accès non autorisé aux informations personnelles des utilisateurs, y compris des employés"". Des mesures sont prises pour protéger les informations sensibles et la sécurité du réseau, notamment après la découverte d'une activité malveillante ayant conduit à une coupure intentionnelle de l'accès à distance au réseau de GAC le 24 janvier 2024. Une enquête est en cours et Global Affairs Canada travaille avec des partenaires informatiques pour restaurer la connectivité complète et a informé les personnes affectées par la brèche."|https://globalnews.ca/news/10260753/global-affairs-canada-compromised/
23|The Misbourne School|themisbourne.co.uk|2024-01-24|GBR|"Misbourne School remains closed due to cyber attack | Bucks Free Press"|L'école Misbourne a été contrainte de fermer en raison d'une cyberattaque qui a compromis certains de ses systèmes informatiques, affectant l'infrastructure et les opérations. L'établissement sera partiellement fermé le vendredi 26 janvier, avec des cours à distance pour certains niveaux, et espère rouvrir partiellement pour d'autres niveaux le vendredi 27 janvier. La direction de l'école travaille avec les autorités compétentes pour restaurer les systèmes, signalera l'incident à l'ICO conformément au RGPD, et reste en contact avec diverses parties prenantes, y compris le Département de l'Éducation et le Centre National de Cybersécurité.|https://www.bucksfreepress.co.uk/news/24072459.misbourne-school-closed-due-cyber-attack/
24|Centre de coordination des services de communication en santé (CCSC)|ccscapitales.com|2024-01-24|CAN|Des pirates s’en prennent aux services ambulanciers|"Une cyberattaque, avec rançongiciel, a paralysé les systèmes informatiques du Centre de coordination des services de communication en santé (CCSC), affectant les services ambulanciers dans plusieurs régions, dont la Capitale-Nationale, le Saguenay-Lac-St-Jean et le Nord-du-Québec. Les appels d'urgence sont désormais redirigés vers la Centrale des appels d’Urgence de Chaudière-Appalaches (CAUCA), et bien que les responsables affirment que les services à la population ne sont pas affectés, les ambulanciers sur le terrain rencontrent des difficultés à localiser les appels, ce qui a créé une situation de ""panique totale""."|https://www.lesoleil.com/actualites/justice-et-faits-divers/2024/01/25/des-pirates-sen-prennent-aux-services-ambulanciers-JTIY6MSQNVDFJKCF2YOWJ5QDUE/
25|Comté de Washington, Pennsylvanie|washingtoncopa.gov|2024-01-24|USA|Washington County government targeted by hackers - WPXI|Le gouvernement du comté de Washington en Pennsylvanie a été ciblé par des pirates informatiques, entraînant une fermeture préventive de leurs serveurs suite à un avertissement de sécurité reçu de la part des responsables de la sécurité intérieure. Bien que le système 911 du comté soit resté opérationnel, contrairement à celui du comté de Bucks également visé, les opérations courantes au palais de justice de Washington se font manuellement, en attendant une mise à jour officielle sur la nature exacte de l'incident.|https://www.wpxi.com/news/local/washington-county-government-targeted-by-hackers/UREJKZZAWRBF5OWY5T6PWKXIL4/
26|Richmond Fellowship Scotland|trfs.org.uk|2024-01-23|GBR|"Scots charity targeted by cyber hackers with 'all of its systems down' | The Scottish Sun"|La Richmond Fellowship Scotland, une organisation caritative écossaise, a été la cible d'une cyberattaque majeure qui a entraîné la mise hors service de ses systèmes numériques. La police écossaise enquête sur l'incident après que le personnel a découvert que les systèmes avaient été compromis, mais il n'est pas encore clair si des données personnelles ont été volées. L'organisation, qui est le plus grand fournisseur de services sociaux en Écosse, emploie plus de 3 300 personnes et gère environ 190 services à travers le pays.|https://www.thescottishsun.co.uk/news/11882996/major-cyber-attack-scottish-care-firm-police-called/
27|Kansas City Area Transportation Authority (KCATA)|ridekc.org|2024-01-23|USA|Kansas City Area Transportation Authority hit with cyberattack Tuesday|La Kansas City Area Transportation Authority (KCATA) a été victime d'une cyberattaque mardi matin, entraînant la mise hors ligne de plusieurs de ses systèmes, y compris les centres d'appels régionaux RideKC et les lignes fixes. Le président de l'agence, Reginald Townsend, a déclaré que les autorités compétentes, dont le FBI, ont été immédiatement contactées pour enquêter, et il a exprimé sa confiance dans les politiques de stockage des données de l'agence pour sécuriser les systèmes et les données.|https://www.kshb.com/news/crime/kansas-city-area-transportation-authority-hit-with-cyberattack-tuesday
28|Département de la Sarthe|sarthe.fr|2024-01-23|FRA|"Le Département de la Sarthe visé par une cyberattaque | Actu Le Mans"|Le Département de la Sarthe a été la cible d'une cyberattaque révélée par Dominique Le Mèner, président du Conseil départemental, qui a entraîné une fuite de mots de passe sur le darknet. Les services du Département ont réagi rapidement pour contrer l'attaque et le site internet du Département est temporairement bloqué, avec une résolution attendue pour le jour du débat d'orientations budgétaires. Cet incident s'inscrit dans une série d'attaques similaires ayant récemment touché d'autres conseils départementaux comme le Loiret et la Seine-Maritime.|https://actu.fr/pays-de-la-loire/le-mans_72181/le-departement-de-la-sarthe-vise-par-une-cyberattaque_60606112.html
29|ICN Business School Nancy|icn-artem.com|2024-01-22|FRA|L’école nancéienne ICN Business School victime d’une cyberattaque|L'ICN Business School, une école de management basée à Nancy, a été victime d'une cyberintrusion avec demande de rançon, impliquant la menace de diffusion de données sur le darknet. L'attaque a été revendiquée sur le site vitrine de la franchise LockBit 3.0 le 24 janvier.|https://www.lejournaldesentreprises.com/lorraine/breve/lecole-nanceienne-icn-business-school-victime-dune-cyberattaque-2079535
30|Volkshochschule (VHS) Minden-Bad Oeynhausen|vhs-minden.de|2024-01-22|DEU|Cyberangriff auf VHS: Polizei hat Ermittlungen aufgenommen|La Volkshochschule (VHS) de Minden-Bad Oeynhausen, en Allemagne, a été victime d'une cyberattaque le lundi après-midi 22 janvier. L'institution a déposé plainte suite à cet incident. La police a commencé ses enquêtes pour faire la lumière sur cette attaque informatique.|https://www.westfalen-blatt.de/owl/kreis-minden-luebbecke/bad-oeynhausen/vhs-cyberangriff-notbetrieb-2906726
31|EquiLend|equilend.com|2024-01-22|USA|"$2.4 trillion securities platform owner hacked. EquiLend admits ""unauthorised access"""|La société de technologie financière EquiLend, propriétaire de la plateforme NGT qui exécute des transactions de titres d'une valeur de 2,4 billions de dollars par mois, a confirmé un accès non autorisé à ses systèmes le 22 janvier, perturbant certains de ses services. EquiLend travaille avec des firmes de cybersécurité externes pour enquêter et restaurer les services, et prévient que la restauration pourrait prendre plusieurs jours. Cet incident survient peu après l'annonce de l'acquisition d'une participation majoritaire dans EquiLend par la société de capital-investissement Welsh, Carson, Anderson & Stowe, prévue pour le deuxième trimestre de 2024.|https://www.thestack.technology/equilend-cybersecurity-incident/
32|Bucks County|buckscounty.gov|2024-01-21|USA|UPDATE: Bucks County Computer-Aided Dispatch System Crippled By Cyberattack - New Hope Free Press|Le système de répartition assistée par ordinateur (CAD) du comté de Bucks a été mis hors service dimanche à la suite d'une cyberattaque présumée, affectant les services d'urgence locaux qui ont dû revenir à l'utilisation de stylo et de papier. Les autorités locales ont confirmé l'incident de cybersécurité sans donner de délai pour la restauration du système, tout en maintenant le centre d'appels d'urgence 9-1-1 opérationnel pour continuer à recevoir les appels et à dispatcher les équipes sur le terrain. L'attaque a également désactivé l'accès du comté aux bases de données judiciaires étatiques et fédérales, bien que certaines agences puissent y accéder indé|https://www.newhopefreepress.com/2024/01/22/bucks-county-computer-aided-dispatch-system-out-of-service/
33|Caravan and Motorhome Club (CAMC)|camc.com|2024-01-20|GBR|Major IT outage denies happy campers their caravan holidays • The Register|Le Caravan and Motorhome Club (CAMC) au Royaume-Uni fait face à une panne informatique majeure depuis cinq jours, soupçonnée d'être due à une cyberattaque, ce qui a entraîné des perturbations étendues de ses services numériques et a affecté les réservations de ses membres. L'entreprise a signalé l'incident au Bureau du Commissaire à l'information (ICO) du Royaume-Uni, ce qui implique une possible atteinte à la sécurité des données, bien qu'elle affirme qu'il n'y a pas de preuve que les données des membres aient été compromises. Malgré les plaintes des membres concernant le manque de communication directe, le CAMC travaille avec des équipes externes pour rétablir ses systèmes|https://www.theregister.com/2024/01/24/major_it_outage_at_caravan/
34|Canterbury Council (le conseil municipal de Canterbury)|canterbury.gov.uk|2024-01-19|GBR|Cyber incident under investigation - Canterbury Newsroom|La municipalité de Canterbury enquête sur un incident de cybersécurité avec l'aide du National Cyber Security Centre. Bien que le système de messagerie et le site web soient restés accessibles, certaines fonctionnalités du site pourraient être affectées, et il n'y a pas d'indication que les données des clients aient été compromises. La municipalité s'excuse pour les désagréments occasionnés et précise que le contractant Civica ne fournit pas de services informatiques au conseil mais gère d'autres services comme les recettes, les prestations, le recouvrement de dettes et le service client.|https://news.canterbury.gov.uk/news/cyber-incident-under-investigation/
35|Japan Food Holdings|jfh.com.sg|2024-01-19|SGP|Cybersecurity Incident|Le groupe Japan Foods Holding Ltd. a été victime d'une attaque de ransomware, avec un accès non autorisé à ses serveurs, détectée le 19 janvier 2024. Malgré l'impact sur les données stockées, le groupe a pris des mesures immédiates pour identifier, contenir et restaurer les serveurs affectés, signalant également l'incident à la police de Singapour et à la Commission de protection des données personnelles. Selon une enquête préliminaire, il n'y a aucune preuve de fuite de données ou de compromission d'informations personnelles sensibles, et le groupe a activé son plan de continuité d'activité, assurant qu'aucune perturbation significative n'a eu lieu jusqu'à présent.|https://media-japanfood.todayir.com/2024012223261066272772_en.pdf
36|Clackamas Community College|clackamas.edu|2024-01-19|USA|Clackamas Community College computer network hacked - The Clackamas Print|Le réseau informatique du Clackamas Community College a été piraté le vendredi 19 janvier, entraînant la désactivation de son site web, de son système de messagerie et de ses plateformes d'apprentissage en ligne. Les forces de l'ordre et l'équipe informatique de l'établissement travaillent sur l'enquête et la résolution du problème, et bien que deux serveurs aient été ciblés, on ignore encore si des données personnelles ont été compromises. Les cours ont été annulés pour les 22 et 23 janvier afin de permettre aux services informatiques de procéder aux réparations nécessaires.|https://www.theclackamasprint.net/news/clackamas-community-college-computer-network-hacked/
37|Tietoevry|tietoevry.com|2024-01-19|SWE|UPDATE: Ransomware attack in Swedish data center|Un des centres de données de Tietoevry en Suède a été partiellement touché par une attaque de ransomware dans la nuit du 19 au 20 janvier, affectant les services de certains clients. Tietoevry a isolé la plateforme affectée, mobilisé une équipe d'experts pour la résolution du problème et est en dialogue constant avec les clients impactés. L'incident fait l'objet d'une enquête approfondie par des spécialistes internes et externes et a été signalé à la police, tandis que l'entreprise travaille à la restauration des services en suivant une méthodologie éprouvée.|https://www.tietoevry.com/en/newsroom/all-news-and-releases/other-news/2024/01/ransomware-attack-in-sweden-update/
38|Town of Greater Napanee|greaternapanee.com|2024-01-19|CAN|"Town of Greater Napanee targeted by hackers, impact as yet unknown - Kingston | Globalnews.ca"|La ville de Greater Napanee, en Ontario, a été la cible d'une cyberattaque, comme l'ont révélé les responsables municipaux dans un communiqué de presse vendredi. Après avoir pris connaissance de l'incident jeudi, la ville a rapidement réagi en fermant l'accès à ses systèmes pour en limiter l'impact et préserver leur intégrité, tout en faisant appel à des experts pour enquêter et en informant les forces de l'ordre. Les détails et l'ampleur de l'impact de l'attaque restent inconnus, mais la ville promet de communiquer des informations supplémentaires dès qu'elles seront disponibles et de contacter directement les personnes affectées après l'enquête.|https://globalnews.ca/news/10223187/greater-napanee-hacked/
39|Schneider Electric|schneider-electric.com|2024-01-17|FRA|Energy giant Schneider Electric hit by Cactus ransomware attack|Le géant de la gestion de l'énergie et de l'automatisation, Schneider Electric, a été victime d'une attaque de ransomware Cactus, entraînant le vol de données d'entreprise au sein de sa division Sustainability Business le 17 janvier. L'attaque a perturbé la plateforme cloud Resource Advisor de l'entreprise, qui subit toujours des interruptions. Schneider Electric a confirmé l'attaque et travaille à la restauration des systèmes affectés, tout en précisant que l'incident était limité à cette division et qu'il n'a pas impacté d'autres parties de l'entreprise.|https://www.bleepingcomputer.com/news/security/energy-giant-schneider-electric-hit-by-cactus-ransomware-attack/
40|Veolia North America|veolia.us|2024-01-17|USA|"Veolia Responds to Cyber Incident | Veolia Water"|La division Municipal Water de Veolia North America a été touchée par un incident de rançongiciel, affectant certaines applications logicielles et systèmes, ce qui a entraîné des retards dans les systèmes de paiement en ligne des clients. Veolia a pris des mesures défensives, comme la mise hors ligne des systèmes ciblés, et travaille avec les forces de l'ordre et des tiers pour enquêter sur l'incident, qui semble ne pas avoir affecté les opérations de traitement de l'eau ou des eaux usées. L'entreprise a identifié un nombre limité d'individus dont les informations personnelles ont été potentiellement impactées et s'associe à une firme de cyber-forensique pour prévenir de futurs incidents.|https://mywater.veolia.us/veolia-responds-cyber-incident
41|V.I. Lottery (Loterie des Îles Vierges)|winusvilottery.com|2024-01-17|VIR|"Lottery postpones drawing due to ""collapse"" of computer system | News | virginislandsdailynews.com"|La Loterie des Îles Vierges a reporté son tirage du 18 janvier en raison d'une violation technologique qui a provoqué de multiples défaillances dans son système informatique. Tous les services de vente au détail et administratifs ont été suspendus jusqu'à nouvel ordre, et une équipe informatique ainsi que des experts en cybersécurité travaillent sans relâche pour résoudre le problème. Cet incident s'ajoute à une série d'attaques cybernétiques subies par les agences gouvernementales des Îles Vierges ces dernières années, y compris des escroqueries par courriel et des attaques par ransomware.|https://www.virginislandsdailynews.com/news/lottery-postpones-drawing-due-to-collapse-of-computer-system/article_48033390-2768-55ef-8966-56227a6e2d4a.html
42|Service de secours de Jämtland|jamtland.se|2024-01-17|SWE|Cyberattack mot räddningstjänsten|La räddningstjänsten (service de secours) de la région de Jämtland en Suède a été la cible d'une cyberattaque dans la nuit de mercredi à jeudi, affectant leur système d'alerte. Le personnel a été alerté de l'incident après minuit grâce aux avertissements de leur système informatique. Actuellement, le service utilise un système de secours pour les alertes et dispose de plusieurs autres systèmes de réserve en cas de besoin, selon Niclas von Essen, chef de la technologie.|https://www.jamtlandstidning.se/ostersund/cyberattack-mot-raddningstjansten/209399
43|Donau 3 FM|donau3fm.de|2024-01-17|DEU|"Cyberangriff in Ulm: Radio wie früher - Computer bei Donau 3 FM lahmgelegt | Südwest Presse Online"|"La station de radio Donau 3 FM à Ulm a été victime d'une cyberattaque mercredi après-midi, entraînant la paralysie de ses ordinateurs. Face à cette situation, l'équipe a dû improviser en utilisant une table de mixage externe et des lecteurs de CD personnels pour continuer à diffuser son programme, pratiquant une ""radio comme avant"". Malgré l'attaque et une demande de rançon non confirmée par la police, le personnel de la station reste en contact avec les auditeurs via WhatsApp pour recevoir des demandes de musique et maintient l'activité de la station."|https://www.swp.de/lokales/ulm/cyberangriff-in-ulm-radio-wie-frueher-_-computer-bei-donau-3-fm-lahmgelegt-72809737.html
