No.|Group Name|Description|Last Incident \ Victim|Victim Count|Last Seen|Icon|Vraie_Description
18|Avaddon|Read more|M&J Evans Construction (2021-06-09)|178|Offline||Avaddon Ransomware group operates as RaaS (Ransomware As A Service). They sold their service to cybercriminal affiliates. It has been around since 2019 and shuts down its operation in June 2021. The Avaddon Ransomware group is knowns for their “Triple ransom” attacks, which means that they do not only encrypt the victim’s data, they also leak it in the darknet and finally DDOS (Distributed Denial Of Service) their victims to press them to pay the ransom.
19|Everest|Read more|Primeimaging database for sale (2024-02-01-01:22)|153|Offline||Everest ransom group collects and analyzes information about their victims. They specialize in customer privacy data, financial information, databases, credit card information, and more. The Everest ransom group leaks the victim's data to the darknet and they announced that any victim that will not contact them will suffer from a data leak and they will not delete hist files for future usage.
20|NetWalker|Read more|VISTEX (2021-01-26)|144|Offline||"NetWalker ransomware group operates by the threat actor known as ""CIRCUS SPIDER"". The NetWalker ransomware was discovered in 2019. The group mainly targeting the Asia Pacific region but can attack globally. The group uses common attacking tools like Mimikatz and other legitimate tools (LOLBINS) like PSTools, AnyDesk, TeamViewer, NLBrute, and more. The group knowing by targeting the healthcare sector. Finally, in January 2021, Netwalker was takedown by the authorities, the police have confiscated hundreds of thousands of dollars in ransom payments collected by the Netwalker group, and they seized servers and disrupted the infrastructure and the darknet websites of the Netwalker ransomware group."
21|Medusa|Read more|Modern Kitchens (2024-02-12-15:57)|144|Online||
22|NoEscape|Read more|Nida Corp (2023-12-04-10:29)|130|Offline||
23|Snatch|Read more|Malabar Gold & Diamonds (2024-01-25-22:37)|126|Offline||
24|Cactus|Read more|jaygroup.com$62.2MUSA270GB100%DISCLOSED (2024-02-09-16:31)|121|Online||
25|LV|Read more|Unitedauto.Mx Have Been Hacked Due To Multiple Network Vulnerabilities. More Than 2Tb Of Personal Data Were Stolen. (2022-12-14-09:47)|120|Offline||"LV ransomware group main message: ""Here are companies which didn't meet consumer data protection obligations. They rejected to fix their mistakes, they rejected to protect this data in the case when they could and had to ptotect it. These companies prefered to sell their private information, their employees' and customers' personal data"". Security researchers claim that the LV group is utilizing the REvil ransomware group malware. The LV group claim to have compromised the corporate network of Groupe Reorev."
26|Ragnar Locker|Read more|Scotbeef Ltd. - Leaks (2023-10-11-23:11)|99|Offline||"Ragnar_Locker ransomware group first appeared in the wild at the end of December 2019. Ragnar_Locker’s operators usually compromise the victim’s network, steal information before finally dropping the ransomware that will encrypt all files in the victim’s machines. The group hosts a leak website in the darknet for data leak publishing of their victims. The main group's announcement on their website: ""We are Team of Ragnar_Locker and we are cybersecurity enthusiast, cryptopunks, entrepreneurs and businessmen. Our main goal is to create cool project, that can show it's power in all it's glory and of course make profit..."""
27|DarkSide|Read more|toshiba.fr (2021-05-13)|98|Offline||Darkside ransomware group has started its operation in August of 2020 with the model of RaaS (Ransomware-as-a-Service). They have become known for their operations of large ransoms scale. They have announced that they prefer not to attack hospitals, schools, non-profits, and governments, but rather big organizations that can be able to pay large ransoms. Darkside ransomware group became very famous following the cyberattack of the Colonial Pipeline and Toshiba unit. The FBI finally terminate the Darkside operation and Managed to pull money from their wallets back.
28|Karakurt|Read more|Hospice of Huntington (2023-09-22-15:21)|98|Online||
29|Cuba|Read more|dms-imaging (2024-02-01-17:01)|92|Offline||Cuba ransomware is older ransomware that has been active for the past few years. The Cuba ransomware group recently switched to leaking the stolen data of their victims in the darknet. Cuba ransomware group targeting financial institutions, industry, technology, and logistics organizations. There is no indication that the group has any connection with the country of the same name.
30|Grief|Read more|STIMM (2022-01-10)|91|Offline||Grief ransomware group has stolen data from several organizations so far. On their Darknet website, there is a reference to GDPR in efforts to coerce a quicker payment. The Grief ransomware website has anti-scraping protection so that indexing can’t be done automatically. Some of their recent victims are Mobile County, Alabama, and Comune di Porto Sant’Elpidio.
31|BlackByte|Read more|MERIDIAN COOPERATIVE (2023-10-05-00:22)|90|Offline||
32|Qilin|Read more|ZGEO (2024-02-09-16:58)|82|Online||
33|Rhysida|Read more|CNPC Peru S.A. (2024-02-01-04:10)|81|Online||
34|Lorenz|Read more|Bayerhfcu (2023-12-11-18:44)|80|Online||"Lorenz ransomware group slogan is: ""Nothing personal it's strictly business"". The group targets organizations worldwide with custom-made attacks. The stolen data of the Lorenz victims has been published on a ransomware data leak site like most of the other groups. Security researchers say that the Lorenz ransomware encryptor is the same as a ThunderCrypt. Usually, after the Lorenz group compromises a victim, they spread laterally to other devices until they gain domain admin access. Differently from other groups, Lorenz sells access to the victim's network along with the stolen data, also they are selling access and data for other threat actors."
35|Marketo|Read more|Vehicle Service Group (VSG) (2022-02-15-07:03)|74|Offline||"Marketo group put up for sale network accesses and passwords of networks of companies that do not contact them. On the Marketo website, they posted: ""We put up for sale network accesses and passwords of networks of companies that do not contact us."". The group mentioned the victims are currently under attack and the victims that the attack Finished. The group brings an evidence pack for each victim they are selling his data\access and the data leak size."
36|Avos Locker|Read more|Memory Express (2021-09-26)|73|Offline||"AvosLocker operates as a ransomware-as-a-service (RaaS) model. AvosLocker was first seen on Dread with a user called ""avos"" which has posted they are looking for affiliates and provides some features about AvosLocker. In addition, they offer: hosting a leak site, negotiating with victims."
37|Ransomed|Read more|RANSOMEDVC is for sale (2023-10-30-10:35)|70|Offline||
38|RansomHouse|Read more|Shipleys LLP (2024-02-07-00:59)|66|Online||
39|Dark Leak Market|Read more|Huge iCloud Nudes Leak (2022-05-25-21:28)|63|Offline||Dark Leak Market, One of the oldest darkweb marketplaces, selling stolen data since 2019. Data in the market has been gathered from ransomware gang's data leak sites and hacking forums.
40|Quantum|Read more|ChemiFlex (2022-12-09-01:33)|62|Offline||
41|Trigona|Read more|CMG Drainage Engineering  (2024-02-03-17:13)|62|Offline||
42|Stormous|Read more|"Abelsantosyasoc.com.ar ""FF"" (2024-02-02-23:36)"|61|Online||
43|RansomEXX|Read more|Kenya Airways (2023-12-30-15:44)|57|Online||"RansomEXX ransomware group targeted multiple companies starting in mid-2020. RansomEXX is also known as ""Defray777"" and ""Ransom X"". RansomEXX malware's payload runs only in-memory payload which making itself highly evasive and difficult to detect. In mid-2020, a Linux variant of RansomEXX was discovered, simpler than its predecessor, and lacks many features such as disabling security software and command and control communication. The RansomEXX malware has been used in attacks against the Texas Department of Transportation, Konica Minolta, US government contractor Tyler Technologies, Montreal's public transportation system, and Brazil's court system (STJ), among other victims."
44|INC_Ransom|Read more|Pacific American Fish Company Inc. (2024-02-10-02:54)|56|Online||
45|WannaCry|Read more|TSMC  (2018-01-08)|55|Offline||N\A
46|LostTrust|Read more|Arazoza Brothers (2023-09-28-01:10)|53|Offline||
47|Prometheus|Read more|Agrokasa Holdings (2021-07-13)|48|Offline||Prometheus ransomware group, using similar TTPs of Thanos ransomware. The Prometheus group attacks with double-extortion tactics and hosts a darknet website for posting the victim's data leak, first observed in February 2021. The group is posted sales announcements on underground forums and allows threat actors to customize a sample of the malware with a wide variety of available settings.
48|Ragnarok|Read more|DECRYPT (2021-08-26)|46|Offline||Ragnarok ransomware group, used in targeted attacks against unpatched VPN servers like Citrix. The Ragnarok malware excludes victim’s computers that set to one of the ID of the following languages: Russia, Belarus, Russia, Turkmenistan, Ukraine, Azerbaijan, Latvia, Kazakhstan, China. They are using evasion techniques and try to disable Windows Defender, also they have several UNIX file path references in their malware strings. Their ransomware malware uses encryption methods of AES with a dynamically generated key, then bundling this key up via RSA.
49|Monti|Read more|Smith Capital - Press Release (2024-01-23-10:13)|44|Online||
50|Hunters International|Read more|Satse (2024-02-13-11:34)|43|Online||
51|BABUK LOCKER|Read more|RAB Lighting (2021-05-14)|42|Offline||"The Babuk ransomware is targeting large enterprise corporations rather than individual users. Babuk has change direction and re-organized itself as Payload Bin (Payload.Bin): ""we no longer encrypt information on networks, we will get to you and take your data, we will notify you about it if you do not get in touch we make an announcement."" The Babuk ransomware\ Payload.bin ransomware group leaks the victim's data to their darknet website."
52|Nefilim|Read more|Jhillburn. Part 1. (2021-07-20)|42|Offline||Nephilim ransomware group targets mid to large size enterprise companies. The group also exfiltrates victims' data and leaks it to the darknet. The group mentions the active and finished attacks on their victims. The group exploits public-facing applications for initial access like Citrix gateway and exposed Remote Desktop Protocol (RDP). The group not working as ransomware-as-a-Service (RaaS) model and proceed payments via email communications.
53|Suncrypt|Read more|SOCOTEC (2022-06-18-17:19)|42|Offline||SunCrypt ransomware group operates as a Ransomware as a Service (RaaS) model. They are using a closed affiliate program on the dark web.  A new ransomware was found in-the-wild In October 2019. The new ransomware malware was written in Go and targeted Windows machines. The new version of SunCrypt ransomware is written in C/C++. The interesting part is unlike other ransomware groups that shift to Go, they shifted to C/C++. SunCrypt ransomware shared TTPs with the ransomware called QNAPCrypt (also known as eCh0raix).
54|Medusa Locker|Read more|Skalar.Com (2023-12-05-22:23)|40|Offline||
55|RA Group|Read more|SUMMIT VETERINARY PHARMACEUTICALS LIMITED (Unpay-Full public) (2023-12-20-17:33)|40|Offline||
56|BlackMatter|Read more|Jobbers Meat Packing Co., Inc. (2021-10-31)|37|Offline||
57|Spook|Read more|North Island (2021-10-19)|37|Offline||
58|Mallox|Read more|Versatile Card Technology Private Limited (2023-10-26-07:33)|37|Offline||
59|Nokoyawa|Read more|Studio Domaine LLC (2023-08-04-13:27)|36|Offline||
60|Cyclops|Read more|US Claims Solutions (2023-11-03-17:29)|34|Offline||
61|Cloak|Read more|Gaido-fintzen.com (2023-12-14-14:03)|33|Online||
62|Payload.bin|Read more|Serenity Homes SWFL (2022-01-06)|32|Offline||"Payload Bin ransomware group, formerly known as ""Babuk Locker"" announced that will stop encrypting companies and focus on data stealing and extortion. Payload.Bin operates as a data leak website in the darknet, the website already contains the ""CD Projekt"" source code that was published for anyone to use."
63|Abyss|Read more|mranet.org (2024-02-10-18:10)|30|Online||
64|Black Suit|Read more|Antunovich Associates (2024-02-12-23:11)|28|Online||
65|CoomingProject|Read more|ANTEL - TÃ©lÃ©communications nationales uruguayennes (2021-10-03)|27|Offline||
66|ThreatSec|Read more|MindX (2023-12-18-12:54)|26|Offline||
67|Donut Leaks|Read more|DOD contractors you are welcome in our chat. (2024-02-05-02:01)|25|Offline||
68|XING LOCKER|Read more|Wayne Automatic Fire Sprinklers, Inc. (2021-10-26)|23|Offline||Xing ransomware group, the group writes on its darknet website its name with a Chinese character - comes from the Mandarin word for “star”, the group may be Chinese based on its name. Xing ransomware group uses the custom variant of Mount Locker malware to encrypt its victims' files. The team threatening their victims by leaking the unencrypted data as a way to extort targets into paying.
69|3AM|Read more|garonproducts.com (2024-02-12-23:29)|23|Online||
70|DragonForce|Read more|Geologics (2024-01-06-02:32)|22|Online||
71|Meow Leaks|Read more|Disaronno International (2024-02-12-11:09)|21|Online||
72|Mount Locker|Read more|Nachi America Inc. (2021-03-29)|20|Offline||Mount Locker ransomware group, works as a ransomware-as-a-service (RaaS) model. The main activity of the group is encryption and data exfiltration. The Mount Locker ransomware malware is using sophisticated evasion techniques. Some security researchers claim that there is a connection between Mount Locker and Astro Locker team. Mount Locker team using known attacking tools like AdFind, Bloodhound, and CobaltStrike.
73|SiegedSec|Read more|N\A|19|Offline||
74|Money Message|Read more|Anna Jaques Hospital (2024-01-19-22:54)|18|Online||
75|Metaencryptor|Read more|stormtech (2023-12-07-15:10)|17|Offline||
76|Astro Team|Read more|InTown Suites (2021-05-06)|16|Offline||Astro team \ Astro Locker appears to be a ransomware group that operates on its own but they are using very similar TTP's (Tactics, techniques, and procedures) to the Mount Locker group. Cybersecurity researchers suspect that the Astro Locker can be a variant of Mount Locker that operates as RaaS (Ransomware As A Service) with affiliates. The Astro Locker ransomware group leaks the victim's data to their darknet website.
77|Werewolves|Read more|EMPRINT.COM (2023-12-20-15:40)|15|Offline||
78|VSOP NEWS|Read more|www.artisticstairs.com (2022-10-12-13:16)|14|Offline||
79|UnSafe|Read more|American International College (2024-01-14-21:29)|14|Online||
80|SynACK|Read more|"Maestro Digital Mine | www.maestrodigitalmine.com (2021-07-28)"|13|Offline||SynACK ransomware has been known since at least September 2017. In the latest SynAck ransomware variants, the malware uses the Process Doppelgänging technique in an attempt to bypass modern security solutions and antivirus solutions by exploiting how they interact with memory processes. The SynACK ransomware group does not use a payment portal, instead, they are using email or a BitMessage ID. The SynACK ransomware group hosts a darknet website for data leak publications of their victims.
81|Sabbath|Read more|Trigyn 2.0 (2022-01-17)|13|Offline||
82|Sparta|Read more|GRUPO COPISA (2022-09-22-13:30)|13|Offline||
83|Daixin Team|Read more|Graphic Solutions Group Inc (US) (2023-12-09-08:27)|13|Online||
84|Dunghill|Read more|Supply Technology (2023-11-07-13:47)|11|Online||
85|CyphBit|Read more|MPM Medical Supply (2024-01-02-02:15)|11|Online||
86|Darkrace|Read more|ERT (2023-06-11-09:40)|10|Offline||
87|AKO|Read more|Hamilton-Brown (2020-07-08)|9|Offline||"The AKO ransomware group is part of the dangerous ransomware malware distribution called ""AKO"". The AKO group has been around since January 2020 and is distributed on a ransomware-as-a-service (RaaS) model. The malware using sophisticated tactics of evasion and then encrypts the victim's files using a powerful encryption algorithm. The main goal for the AKO malware is to get you to pay a ransom fee to the cybercriminals who are behind the AKO ransomware group. The AKO ransomware group leaks the victim's data to their darknet website. The Tor onion URL used by the Ako Ransomware site is the same as the one used by Ranzy Leak. The use of the same URL could indicate that both groups merged, or they are cooperating similarly to the Maze cartel."
88|LockBit|Read more|Homeland Title (2021-01-21)|9|Offline||LockBit ransomware is malware that encrypts files unless a ransom will pay, the malware formerly known as “ABCD” ransomware, seems to avoid attacking systems local to Russia or any other countries within the Commonwealth of Independent States. The LockBit ransomware group targeting valuable targets and spreads the infection on a network. The ransomware group attacks enterprise and government organizations. LockBit ransomware group working as ransomware-as-a-service (RaaS) model.
89|Noname|Read more|monaco-technologies.com (2024-01-29-11:21)|8|Online||Noname ransomware group breaches companies and sells their data in the darknet. The group claims to steal massive data from their victims and give some proofs in their darknet website.
90|CryptBB|Read more|P1 Technical Services (2023-09-16-15:56)|8|Offline||
91|Omega Lock|Read more|Four Hands LLC (2024-01-25-17:33)|7|Online||
92|Alpha_Locker|Read more|IntegrityInc.org Integrity Inc (2024-01-29-11:30)|7|Online||
93|Pay2Key|Read more|Portnox (2020-12-28)|6|Offline||Pay2Key is ransomware that has been used by the threat actor Fox Kitten. The group seems to operate since July 2020, targetting mainly Israeli companies. Pay2Key has a darknet leak site to public stolen and sensitive information of their victims. Some of their victims: Intel - Habana Labs, IAI - Israel Aerospace Industries, Portnox - Network Security Solutions.
94|Sekhmet|Read more|CBKLAW (2020-06-29)|6|Offline||Sekhmet, The name given to the ransomware is from Ancient Egyptian mythology, which says Sekhmet was the warrior goddess of healing. Ancient Egyptian mythology has strong links to many Western occult traditions, so at the very least the gang behind both appears to have a naming convention in place. Sekhmet is older by a few months, but both share tactics such as leaking data from victims via a dedicated website. Sekhmet hosting a data leak site and publish victim's data if the ransom demanded is unpaid.
95|Team Snatch|Read more|Perceptics (2019-05-17)|6|Offline||Team Snatch ransomware group, operating since the summer of 2018. Their malware rebooting their victim's computers into Safe Mode to disable any security protections and immediately starts encrypting files once the system loads. “Snatch Team” is an homage to the 2000 Guy Ritchie movie. Snatch ransomware activity came out towards the end of 2018 and it became more active during April 2019. The group using automated brute-force attacks to infiltrate company networks and then spreading laterally. Team Snatch has been seen in a wide range of attacks includes United States, Canada, and several European countries. Security researchers found that in all cases, the ransomware portion of the attack came several days to weeks after the initial network breach.
96|Rancoz|Read more|DDB Unlimited (ddbunlimited.com) (2023-09-03-21:37)|6|Offline||
97|Red Alert|Read more|syredis.fr (2022-10-12-14:37)|5|Offline||
98|Relic|Read more|Willis Klein (2022-11-11-02:06)|5|Offline||
99|N3tw0rm|Read more|Eitan Medical (2021-05-19)|4|Offline||N3tw0rm ransomware group is linked to Iran by many security researchers especially for the fact that the group targeting only Israeli companies. Like other ransomware groups, N3tw0rm has a data leak site in the darknet. Due to the low ransom price the group requested and lack of response to negotiations, some security researchers believe that the N3tw0rm group's main goal is to be used for sowing chaos for Israeli interests and not for profit.
100|Ranzy Locker|Read more|alfortville.fr (2020-11-06)|3|Offline||Ranzy Locker, Former known as ThunderX. The group hosting a data leak site in the darknet where they posting sensitive information of victims who do not pay the ransom. ThunderX was launched at the end of August 2020. Soon after launching, weaknesses were found in the code, that allowed decrypting the files that the malware encrypted. The group has fixed the code and publish a new version, then released it under the name Ranzy Locker. The Tor onion URL used by the Ranzy Leak site is the same as the one used by Ako Ransomware. The use of the same URL could indicate that both groups merged, or they are cooperating similarly to the Maze cartel.
101|Arvin_Club|Read more|Islamic Azad University Electronic Campus (2023-10-15-23:06)|3|Offline||
102|NEMTY|Read more|NorthSideUSA (2020-03-03)|1|Offline||Nemty ransomware group, also known as NEMTY PROJECT, operates on a Ransomware-as-a-Service (RaaS) model. Nemty developers released an announcement that offered two types of collaboration: affiliation or private partnership. The group was active in underground deep web forums. The Nemty group released different versions of their ransomware malware over time and they are using a very strong encryption algorithm. In November 2020, The group announced that they shutting down their public Ransomware-as-a-Service model and starting focusing on targeted attacks.
