Date|Victime|Domaine|Pays|Résumé|Titre|URL
2023-11-15|Planet Home Lending|planethomelending.com|USA|Planet Home Lending a informé ses clients d'une violation de données personnelles suite à une cyberattaque du groupe de ransomware LockBit exploitant la faille Citrix Bleed, affectant plus de 200 000 clients avec des informations telles que noms, adresses, numéros de sécurité sociale, numéros de prêt et numéros de comptes financiers. L'attaque a eu lieu le 15 novembre et a été découverte le même jour, mais la société n'a pas l'intention de payer de rançon et a mis en place des mesures de sécurité supplémentaires, offrant également 24 mois de services de surveillance de crédit et de protection d'identité aux victimes.|"Planet Home Lending notifies customers of LockBit ransomware incident | SC Media"|https://www.scmagazine.com/news/planet-home-lending-notifies-customers-of-lockbit-ransomware-incident
2023-07-18|Danbury school district|danbury.k12.ct.us|USA|Le district scolaire de Danbury a été victime d'une attaque par rançongiciel le 18 juillet 2023, entraînant des coûts de 202 274 dollars pour la sécurité réseau et la surveillance du crédit, sans payer de rançon. Le conseil municipal a approuvé une demande de financement de plus de 600 000 dollars pour couvrir les dépenses imprévues en cybersécurité et en éducation spéciale, cette dernière ayant augmenté en raison d'un changement de loi dans le Connecticut. Aucune couverture d'assurance n'était disponible pour certains besoins essentiels, et le district a pris des mesures pour renforcer la sécurité de ses serveurs et informations.|Danbury Schools Ask City Council for Help After Ransomware Attack|https://www.govtech.com/education/k-12/danbury-schools-ask-city-council-for-help-after-ransomware-attack
2024-02-06|Onclusive|onclusive.com|GBR|La société Onclusive, spécialisée dans l'analyse et la surveillance des médias pour les entreprises de relations publiques au Royaume-Uni, a été victime d'une cyberattaque par ransomware le mardi 6 février, ce qui a entraîné l'arrêt de ses systèmes de production. Bien que l'entreprise affirme qu'aucune donnée n'a été compromise et que ses systèmes internes n'ont pas été affectés, le service de surveillance des médias est interrompu et certains clients n'ont pas été informés proactivement de l'incident. Onclusive travaille à la restauration de ses services et à la communication avec ses clients, tout en envisageant des solutions de contournement et des compensations futures.|"PR industry affected as media monitoring firm Onclusive hit by cyber attack | PR Week"|https://www.prweek.com/article/1861136/pr-industry-affected-media-monitoring-firm-onclusive-hit-cyber-attack
2024-02-09|Office of Colorado State Public Defender|coloradodefenders.us|USA|"Une cyberattaque a entraîné la fermeture du réseau informatique du Bureau du défenseur public de l'État du Colorado, empêchant les avocats d'accéder à leurs ordinateurs de travail, aux dossiers judiciaires et aux dépôts de dossiers, ce qui a rendu le bureau ""non opérationnel"". Le porte-parole du bureau a confirmé que des données ont été chiffrées par un logiciel malveillant et que le réseau a été temporairement désactivé pour des raisons de sécurité, avec une interruption des opérations qui pourrait durer jusqu'à une semaine."|Cyberattack shuts down Colorado public defender's office|https://www.denverpost.com/2024/02/12/colorado-public-defenders-office-cyberattack-ransomware-malware/
2024-01-17|Ecosystem|pro.ecosystem.eco|FRA|L'entreprise Ecosystem a été victime d'une cyberattaque par le ransomware Akira le 17 janvier, ayant entraîné l'impact de serveurs internes et la suspension temporaire de ses services en ligne. Malgré la réouverture progressive des services et la restauration de la messagerie électronique, Ecosystem a révélé que l'attaque exploitait une faille zero-day dans un de leurs VPN Cisco ASA. Le groupe Akira, lié au groupe de cybercriminels Conti, est connu pour exploiter cette vulnérabilité depuis août 2023.|"Ecosystem se dit victime du ransomware Akira | LeMagIT"|https://www.lemagit.fr/actualites/366569754/Ecosystem-se-dit-victime-du-ransomware-Akira
2024-02-11|Hipocrate Information System (HIS)|ms.ro|ROU|Dix-huit hôpitaux en Roumanie ont été mis hors ligne à la suite d'une attaque par ransomware qui a ciblé le système de gestion des soins de santé Hipocrate, entraînant le chiffrement de la base de données. Le Ministère de la Santé roumain et des experts en cybersécurité de la Direction Nationale de la Cybersécurité (DNSC) enquêtent sur l'incident et évaluent les possibilités de récupération, tout en prenant des mesures préventives pour les autres hôpitaux. À l'heure actuelle, il n'y a pas d'information sur l'identité des auteurs de l'attaque ransomware ni sur un éventuel vol de données personnelles ou médicales des patients.|Ransomware attack forces 18 Romanian hospitals to go offline|https://www.bleepingcomputer.com/news/security/ransomware-attack-forces-18-romanian-hospitals-to-go-offline/
2024-01-30|Jacksonville Beach|jacksonvillebeach.org|USA|La ville de Jacksonville Beach en Floride a confirmé avoir été victime d'une cyberattaque qui a entraîné la fermeture de l'hôtel de ville et l'interruption de nombreux services municipaux. Les responsables de la ville ont indiqué qu'ils travaillent à la restauration des systèmes et services et qu'une enquête est en cours, sans donner plus de détails pour le moment. Cet incident s'ajoute à d'autres cyberattaques subies par des villes de Floride, comme Lake City et Riviera Beach, qui ont eu lieu il y a cinq ans et qui avaient conduit à des paiements de rançon de six chiffres.|Jacksonville Beach admits city tech services have been hacked|https://floridapolitics.com/archives/656098-jacksonville-beach-admits-city-tech-services-have-been-hacked/
2024-01-18|Service Employees International Union (SEIU) Local 1000|seiu1000.org|USA|La SEIU Local 1000, l'une des plus grandes unions de Californie, a confirmé être victime d'une cyberattaque après que le groupe de ransomware LockBit ait prétendu avoir volé 308 gigaoctets de données sensibles de l'organisation. L'union travaille avec des experts externes pour sécuriser son réseau et restaurer ses opérations tout en aidant les forces de l'ordre dans leur enquête. En réponse à l'incident, la SEIU Local 1000 prévoit d'offrir des services de surveillance de crédit et de protection contre le vol d'identité aux victimes potentielles.|California union confirms ransomware attack following LockBit claims|https://therecord.media/california-union-lockbit-attack-ransomware
2024-02-07|Krankenhaus Lindenbrunn|krankenhaus-lindenbrunn.de|DEU|L'hôpital Lindenbrunn à Coppenbrügge, en Basse-Saxe, a été victime d'une cyberattaque qui a paralysé son système informatique et son installation de télécommunication depuis vendredi. Les auteurs de l'attaque ont demandé une rançon pour rétablir les systèmes, mais l'hôpital n'a pas cédé à cette exigence. En conséquence, l'hôpital a dû improviser, en revenant à l'utilisation de dossiers patients papier, et il n'est pas encore clair quand les systèmes seront à nouveau opérationnels.|"Cyberangriff: Hacker legen IT-System von Klinik lahm | NDR.de - Nachrichten - Niedersachsen - Studio Hannover"|https://www.ndr.de/nachrichten/niedersachsen/hannover_weser-leinegebiet/Cyberangriff-Hacker-legen-IT-System-von-Klinik-lahm,aktuellhannover15444.html#:~:text=Das%20Krankenhaus%20Lindenbrunn%20in%20Coppenbrügge,System%20und%20die%20Telekommunikations%2DAnlage.
2024-02-07|Commune de Petersberg|petersberg.de|DEU|La mairie de Petersberg, dans le district de Fulda, est confrontée à des difficultés en raison d'une cyberattaque qui a provoqué une panne informatique depuis mercredi, limitant l'accès aux services de la mairie. Les systèmes de téléphonie et de messagerie électronique sont affectés, entraînant la fermeture de la bibliothèque et la mise en place d'un numéro de téléphone d'urgence pour les cas urgents. Les autorités assurent que le téléphone sera rétabli au début de la semaine prochaine et travaillent avec des experts en IT et des agences de sécurité pour résoudre le problème.|Fulda: Cyber-Angriff macht Gemeinde Petersberg zu schaffen|https://www.fuldaerzeitung.de/fulda/fulda-cyber-angriff-attacke-gemeinde-petersberg-rathaus-telefon-mail-ausfall-92825678.html
2024-02-04|Middletown Area School District|raiderweb.org|USA|"Le district scolaire de Middletown Area, situé dans le comté de Dauphin, enquête sur un ""incident cybernétique"" survenu la semaine dernière, après avoir constaté des dysfonctionnements dans deux de ses systèmes d'information. Le district a réagi immédiatement en collaborant avec des spécialistes externes en technologie de l'information pour mener une évaluation diagnostique et médico-légale approfondie de ses réseaux et systèmes. Bien qu'il y ait eu des perturbations, le district affirme qu'il n'y a pas d'indication que des informations personnelles d'élèves ou d'employés aient été compromises."|Middletown Area School District suffers 'cyber incident,' investigation ongoing|https://www.abc27.com/local-news/harrisburg/middletown-area-school-district-suffers-cyber-incident-investigation-ongoing/
2024-02-07|SouthState Bank|southstatebank.com|USA|La SouthState Bank, basée en Floride et filiale de SouthState Corp., a été victime d'une cyberattaque mercredi, entraînant des perturbations dans ses activités. La banque a révélé dans un dépôt réglementaire vendredi avoir détecté l'incident de cybersécurité et avoir pris des mesures pour contrer l'activité non autorisée, y compris l'isolement de certaines parties de son réseau. Malgré ces perturbations, la banque a affirmé que ses opérations continuaient dans tous les aspects essentiels et qu'une enquête était en cours avec l'assistance d'une entreprise de cybersécurité.|SouthState Bank Reports Cyber Incident - MarketWatch|https://www.marketwatch.com/story/southstate-bank-reports-cyber-incident-60f1dad2
2024-01-08|Hyundai Motor Europe|hyundai.com|DEU|Hyundai Motor Europe a été victime d'une attaque de ransomware Black Basta, les cybercriminels prétendant avoir volé trois téraoctets de données d'entreprise. La société a confirmé l'attaque après que BleepingComputer a partagé des informations supplémentaires sur le vol de données, bien que Hyundai n'ait pas précisé la nature des données dérobées. Le groupe Black Basta, soupçonné d'être une émanation de l'opération de ransomware Conti, est connu pour ses attaques par double extorsion et aurait reçu plus de 100 millions de dollars en paiements de rançon depuis son lancement en avril 2022.|Hyundai Motor Europe hit by Black Basta ransomware attack|https://www.bleepingcomputer.com/news/security/hyundai-motor-europe-hit-by-black-basta-ransomware-attack/
2023-02-08|Central School District 13J|central.k12.or.us|USA|Le Central School District 13J, situé dans la région d'Independence et Monmouth en Oregon, a annulé les cours pour le reste de la semaine en raison d'une activité inhabituelle sur leur réseau informatique, suspectée d'être une cyberattaque. Les autorités du district ont fait appel à des experts en cybersécurité indépendants ainsi qu'aux autorités locales, étatiques et fédérales, et certains systèmes et données sont temporairement inaccessibles. Il n'y a pas d'information sur un éventuel vol de données, mais les activités parascolaires, y compris les entraînements et les matchs sportifs, se poursuivront comme prévu.|"Central School District 13J shuts down after cyberattack | kgw.com"|https://www.kgw.com/article/news/education/oregon-central-school-district-cyberattack/283-b3ae13dc-f770-48f0-a0f5-fcb60629e772
2024-01-30|Therme Laa|therme-laa.at|AUT|Therme Laa a été attaquée, entraînant le vol de données de ses employés, mais a réussi à reprendre ses opérations normales le lendemain sans recevoir de demande de rançon.|Cyberangriffe auf Korneuburg und Therme Laa - noe.ORF.at|https://noe.orf.at/stories/3244135/
2023-12-19|Sage Home Loans Corporation (anciennement Lenox Financial Mortgage Corporation)|weslend.com|USA|Le 2 février 2024, Sage Home Loans Corporation, anciennement Lenox Financial Mortgage Corporation, a annoncé avoir été victime d'une cyberattaque qui a permis à une partie non autorisée d'accéder à des informations sensibles des consommateurs, telles que les noms, numéros de sécurité sociale, adresses, numéros de permis de conduire, informations financières et médicales. L'entreprise a détecté une activité inhabituelle le 19 décembre 2023, qui s'est avérée être liée à une attaque par rançongiciel, et a commencé à envoyer des lettres de notification de violation de données aux individus affectés le 2 février 2024. Sage Home Loans Corporation est une société de services financiers basée|"Sage Home Loans / Lenox Financial Announces Data Breach Affecting Consumers Sensitive Information | Console and Associates, P.C. - JDSupra"|https://www.jdsupra.com/legalnews/sage-home-loans-lenox-financial-4070728/
2023-11-09|Azura Vascular Care|azuravascularcare.com|USA|Azura Vascular Care a notifié une violation de données affectant 348 000 patients après avoir été cible d'une cyberattaque, où des informations sensibles telles que les noms, numéros de sécurité sociale, adresses postales, et informations médicales ont été accessibles par une partie non autorisée. L'incident a été découvert le 9 novembre 2023 et confirmé le 27 septembre 2023, lorsque les pirates ont accédé et crypté le réseau d'Azura. La société a commencé à envoyer des lettres de notification aux individus affectés le 13 janvier 2024 pour les informer de la brèche de sécurité.|"Azura Vascular Care Notifies 348,000 Patients of Recent Data Breach | Console and Associates, P.C. - JDSupra"|https://www.jdsupra.com/legalnews/azura-vascular-care-notifies-348-000-5686228/
2024-01-24|Commune de Teo|teo.gal|ESP|Le Concello (municipalité) travaille à la restauration de ses services principaux après avoir subi une cyberattaque le mercredi 24 janvier, qui a paralysé l'activité administrative pendant les jours suivants. Les autorités collaborent avec l'Agence pour la Modernisation Technologique de Galice (AMTEGA) et la Députation Provinciale de La Corogne pour enquêter sur l'attaque, et les faits ont été rapportés à la Garde Civile ainsi qu'aux organismes nationaux de cybersécurité et de protection des données. Le Concello de Teo rassure les citoyens et les encourage à signaler toute communication suspecte émanant de la municipalité.|O Concello traballa na recuperación dos seus servizos principais tras sufrir o pasado xoves un ciberataque|https://teo.gal/gl/actualidade/2024/o-concello-traballa-na-recuperacion-dos-seus-servizos-principais-tras-sufrir-o
2024-02-07|Université de Central Missouri|ucmo.edu|USA|Les systèmes informatiques de l'Université de Central Missouri sont hors ligne suite à une tentative de cyberattaque sur leurs serveurs, annoncée le mercredi 7 février. Les responsables ont réagi immédiatement pour contenir la situation et travaillent avec des partenaires, y compris l'État du Missouri, pour résoudre le problème, entraînant une mise hors ligne des systèmes pour environ six heures, mais les étudiants et les employés doivent s'attendre à une indisponibilité d'au moins 48 heures. Aucune information sur d'éventuelles données dérobées n'a été divulguée, mais les services de sécurité et d'urgence restent opérationnels sur le campus.|IT systems at UCM remain offline following attempted cyberattack|https://www.kctv5.com/2024/02/07/it-systems-ucm-remain-offline-following-attempted-cyberattack/
2024-01-30|Balmain|balmain.com.au|AUS|Le site web de Balmain est hors service depuis 10 jours à la suite d'une cyberattaque majeure, mais les systèmes de ses entreprises associées AMAL, Wave Money et MitchCap, qui offrent divers services financiers, n'ont pas été affectés. Il n'y a pas d'indication que les systèmes de D'Albora, dans laquelle Balmain est un investisseur principal, aient été compromis. Balmain travaille avec des experts externes pour résoudre le problème et espère rétablir ses systèmes, y compris ceux qu'il héberge pour Metro, dans les plus brefs délais.|Cyberattack: Balmain’s website down 10 days after major hack|https://www.afr.com/technology/lender-s-website-down-10-days-after-major-hack-20240207-p5f35h
2024-02-02|Mairie de Korneuburg|korneuburg.gv.at|AUT|Le Rathaus (hôtel de ville) de Korneuburg a été victime d'une cyberattaque où toutes les données ont été chiffrées, y compris les serveurs, les postes clients et les systèmes de sauvegarde. Une entreprise externe a été engagée pour résoudre le problème, et un rançongiciel est suspecté puisqu'un message de demande de rançon a été reçu. En attendant, les services municipaux restent accessibles par téléphone, bien que toutes les opérations numériques soient paralysées.|Alles ist verschlüsselt: Cyberangriff aufs Korneuburger Rathaus - Korneuburg|https://www.meinbezirk.at/korneuburg/c-lokales/cyberangriff-aufs-korneuburger-rathaus_a6516716
2024-02-06|Advania|advania.se|SWE|Environ soixante entreprises suédoises ont été affectées par une cyberattaque contre un fournisseur de services informatiques, Advania, qui a eu lieu mardi après-midi. Parmi les victimes, on compte entre dix et quinze centres de soins qui ne peuvent plus accéder à leurs systèmes, empêchant la lecture des dossiers médicaux et la réception des patients. Advania a isolé l'environnement pour contenir l'attaque et il n'y a pas encore de calendrier pour la résolution du problème, bien qu'il n'y ait pas d'indication que des logiciels malveillants de type ransomware aient été introduits dans le système.|Ett 60-tal företag drabbade av cyberattack|https://www.aftonbladet.se/nyheter/a/EQ6goP/vardcentraler-utsatta-for-it-attack
2024-01-30|Université de Hong Kong|hku.hk|HKG|Le serveur informatique de la Faculté d'éducation de l'Université de Hong Kong a subi une cyberattaque le 30 du mois dernier, entraînant la possible fuite de documents internes, y compris des enregistrements de réservation de salles de classe, des directives internes, des documents d'administration système, ainsi que des procès-verbaux de réunions et des dossiers depuis 2012. Les données personnelles potentiellement affectées comprennent celles d'environ 400 chercheurs invités, les progrès d'apprentissage de quelque 3000 étudiants et les résumés de candidature de près de 4000 étudiants de cycles supérieurs de recherche, mais il n'y a pas de preuve que des informations sensibles comme|港大教育學院電腦伺服器遭網絡攻擊或洩議程文件及記錄|https://www.bastillepost.com/hongkong/article/13821470-港大教育學院電腦伺服器遭網絡攻擊或洩議程文件
2024-01-31|WIFI Niederösterreich|wifi.at|AUT|Le WIFI de la Basse-Autriche a été victime d'une cyberattaque. Aucune demande de rançon n'a été faite suite à l'attaque. Des messages sur X (anciennement Twitter) indiquent que le groupe de hackers russophones Lockbit a revendiqué l'attaque sur le Darknet.|"Hackerangriff auf das WIFI Niederösterreich - Niederösterreich | Heute.at"|https://www.heute.at/s/hackerangriff-auf-das-wifi-niederoesterreich-120018484
2024-02-06|Commune de Kalmar|kalmar.se|SWE|La commune de Kalmar en Suède a été victime d'une cyberattaque, ce qui a conduit à la fermeture de ses systèmes internes, bien que les employés puissent continuer à travailler via des services cloud, selon le chef de la communication Nico Werge. Les fonctions critiques telles que les alarmes, les armoires à médicaments et les ascenseurs n'ont pas été affectées. La responsabilité de l'attaque est attribuée au groupe russe Akira, qui a également récemment attaqué le centre de données de Tietoevry, impactant de nombreuses entreprises, autorités et autres communes.|Kalmar utsatt för cyberattack - misstänks vara Akira - Computer Sweden|https://computersweden.idg.se/2.2683/1.780918/kalmar-utsatt-for-cyberattack-misstanks-vara-akira
2024-02-02|Hôpital de la Trinité à Lippstadt, ainsi que les cliniques associées à Erwitte et Geseke.|dreifaltigkeits-hospital.de|DEU|Une cyberattaque a paralysé le Dreifaltigkeits-Hospital à Lippstadt ainsi que deux cliniques associées à Erwitte et Geseke, empêchant temporairement l'admission de cas d'urgence. Les patients déjà présents continuent à recevoir des soins complets et les interventions planifiées devraient reprendre dans la journée. Les autorités mènent une enquête pour déterminer comment les cybercriminels ont accédé au réseau informatique du groupe hospitalier et évaluer l'étendue des dommages.|"Keine Notfallaufnahme in Kliniken nach Cyberangriff | Die Glocke"|https://www.die-glocke.de/regionales/artikel/krisensitzung-nach-angriff-auf-klinikverbund-im-kreis-soest-1707124567
2024-02-01|Ajuntament de Sant Antoni de Portmany|santantoni.net|ESP|L'Ajuntament de Sant Antoni de Portmany a été victime d'une cyberattaque de type ransomware qui a affecté ses systèmes informatiques municipaux. Le service informatique travaille depuis la détection du problème à minuit pour analyser l'étendue de l'attaque et son impact sur les services municipaux, en se concentrant sur la contenance de l'attaque et le début des processus de récupération. Il est recommandé aux citoyens de téléphoner avant de se rendre en personne pour confirmer la disponibilité des services, et l'incident est en cours de communication aux organismes compétents, y compris le Centre Criptològic Nacional (CCN-CERT).|L'Ajuntament de Sant Antoni de Portmany ha patit un ciberatac de ‘ransomware’ que ha afectat els sistemes informàtics municipals - Notícies - santantoni.net|https://www.santantoni.net/-/l-ajuntament-de-sant-antoni-de-portmany-ha-patit-un-ciberatac-de-ransomware-que-ha-afectat-els-sistemes-informatics-municipals
2024-02-04|Northern Light Health|northernlighthealth.org|USA|Le système de santé intégré Northern Light Health dans le Maine a été victime d'une cyberattaque le 4 février, affectant plusieurs de ses serveurs informatiques. En réponse, l'organisation a temporairement déconnecté ses systèmes de dossiers patients pour mener une enquête approfondie, tout en assurant que les opérations hospitalières et les soins aux patients n'étaient pas affectés. Northern Light Health a nié toute compromission des informations des patients ou tout contrôle perdu sur ses systèmes, et a signalé l'incident aux autorités compétentes tout en continuant à fournir des soins de qualité pendant l'enquête en cours.|Northern Light Health Cyberattack :Update On Patient Records|https://thecyberexpress.com/northern-light-health-cyberattack-update/
2023-02-03|Ehpad Saint-Jean-Baptiste de Farébersviller||FRA|L'Ehpad Saint-Jean-Baptiste de Farébersviller a été la cible d'une cyberattaque avec demande de rançon dans la nuit du 2 au 3 février, entraînant l'inaccessibilité de leur logiciel de soins et la probable fuite de données personnelles. La direction a refusé de payer la rançon, arguant que cela ne garantit pas la restauration des systèmes, et a signalé l'incident à la Cnil tout en étant soutenue par l'ARS et le Cert. Malgré l'attaque, la qualité des soins n'a pas été affectée, le personnel ayant repris le suivi des résidents manuellement et les systèmes de sécurité de l'établissement n'ayant pas été compromis.|Moselle. Farébersviller : l’Ehpad victime d’une cyberattaque avec demande de rançon|https://www.republicain-lorrain.fr/faits-divers-justice/2024/02/10/farebersviller-l-ehpad-victime-d-une-cyberattaque-avec-demande-de-rancon
2024-02-11|Centre hospitalier d’Armentières|ch-armentieres.fr|FRA|L'hôpital d'Armentières dans le Nord de la France a été la cible d'une cyberattaque dans la nuit de samedi à dimanche, entraînant la fermeture des urgences pour 24 heures et la redirection des patients vers d'autres établissements. Les pirates ont crypté des données et demandent une rançon, ce qui a poussé la direction à déconnecter l'ensemble du réseau informatique de l'hôpital. Une cellule de crise a été mise en place pour gérer la situation et les soins aux patients déjà présents sont maintenus grâce à l'impression de leurs dossiers.|Nord : l’hôpital d’Armentières victime d’une cyberattaque, les urgences fermées pour la journée|https://www.francetvinfo.fr/internet/securite-sur-internet/cyberattaques/nord-l-hopital-d-armentieres-victime-d-une-cyberattaque-les-urgences-fermees-pour-la-journee_6359368.html
2023-04-12|Atlanta Women’s Health Group|awhg.org|USA|Le groupe Atlanta Women’s Health Group a informé plus de 30 000 patients d'une violation de données survenue en avril 2023, où des informations de santé protégées ont été dérobées, bien que leur système de dossiers de santé électroniques soit resté sécurisé. Les données compromises incluaient des informations démographiques, des antécédents médicaux, des diagnostics, des plans de traitement et des informations d'assurance santé. L'article questionne le retard de la notification aux patients, qui a eu lieu le 31 janvier 2024, alors que les réglementations HIPAA et HITECH exigent une notification dans un délai de 60 jours après la découverte de l'activité anormale.|Atlanta Women’s Health Group notifying patients of April 2023 data breach|https://www.databreaches.net/atlanta-womens-health-group-notifying-patients-of-april-2023-data-breach/
